    1.1 eV    1.676E-03  1.601E-03       2 A         4 A         3 A
    1.2 eV    1.676E-03  1.696E-03       2 A         4 A         3 A
    1.3 eV    1.744E-03  1.788E-03       3 A         4 A         3 A
    1.4 eV    1.810E-03  1.877E-03       3 A         4 A         3 A
    1.5 eV    1.874E-03  1.964E-03       3 A         4 A         3 A
    1.6 eV    1.935E-03  2.048E-03       3 A         5 A         3 A
    1.7 eV    1.995E-03  2.131E-03       3 A         5 A         3 A
    1.8 eV    2.053E-03  2.211E-03       3 A         5 A         4 A
      2 eV    2.164E-03  2.367E-03       3 A         5 A         4 A
   2.25 eV    2.295E-03  2.554E-03       3 A         5 A         4 A
2.49999 eV    2.419E-03  2.733E-03       3 A         6 A         4 A
2.74999 eV    2.537E-03  2.905E-03       3 A         6 A         4 A
2.99999 eV    2.650E-03  3.070E-03       3 A         6 A         4 A
3.24999 eV    2.758E-03  3.230E-03       4 A         6 A         5 A
3.49999 eV    2.862E-03  3.385E-03       4 A         7 A         5 A
3.74999 eV    2.963E-03  3.535E-03       4 A         7 A         5 A
3.99999 eV    3.060E-03  3.681E-03       4 A         7 A         5 A
4.49999 eV    3.245E-03  3.962E-03       4 A         7 A         5 A
4.99999 eV    3.421E-03  4.231E-03       4 A         8 A         6 A
5.49999 eV    3.588E-03  4.487E-03       4 A         8 A         6 A
5.99999 eV    3.747E-03  4.734E-03       5 A         8 A         6 A
6.49999 eV    3.900E-03  4.972E-03       5 A         9 A         6 A
6.99999 eV    4.048E-03  5.202E-03       5 A         9 A         7 A
7.99999 eV    4.327E-03  5.642E-03       5 A        10 A         7 A
8.99999 eV    4.590E-03  6.057E-03       5 A        10 A         7 A
9.99999 eV    4.838E-03  6.451E-03       6 A        11 A         8 A
10.9999 eV    5.074E-03  6.828E-03       6 A        11 A         8 A
11.9999 eV    5.300E-03  7.189E-03       6 A        11 A         8 A
12.9999 eV    5.516E-03  7.536E-03       6 A        12 A         8 A
13.9999 eV    5.724E-03  7.870E-03       6 A        12 A         9 A
14.9999 eV    5.925E-03  8.194E-03       7 A        13 A         9 A
15.9999 eV    6.120E-03  8.507E-03       7 A        13 A         9 A
16.9999 eV    6.308E-03  8.810E-03       7 A        13 A         9 A
17.9999 eV    6.491E-03  9.105E-03       7 A        14 A        10 A
19.9999 eV    6.842E-03  9.672E-03       7 A        14 A        10 A
22.4999 eV    7.257E-03  1.034E-02       8 A        15 A        11 A
24.9999 eV    7.650E-03  1.097E-02       8 A        16 A        11 A
27.4999 eV    8.023E-03  1.158E-02       8 A        16 A        12 A
29.9999 eV    8.380E-03  1.215E-02       9 A        17 A        12 A
32.4999 eV    8.722E-03  1.270E-02       9 A        18 A        13 A
34.9999 eV    9.051E-03  1.322E-02       9 A        18 A        13 A
